topic,label_en,label_is,sightings,evidence,pct,ratio
sovereignty,Sovereignty,Fullveldi,652,83,23.7,7.9
eea_eu_law,EEA / EU law,EES-réttur,631,68,22.9,9.3
fisheries,Fisheries,Sjávarútvegur,439,48,15.9,9.1
precedents,Precedents,Fordæmi,294,58,10.7,5.1
trade,Trade & tariffs,Viðskipti og tollar,240,48,8.7,5
currency,Currency,Gjaldmiðill,206,30,7.5,6.9
agriculture,Agriculture,Landbúnaður,169,37,6.1,4.6
energy,Energy,Orka,53,26,1.9,2
labour,Labour market,Vinnumarkaður,39,22,1.4,1.8
housing,Housing,Húsnæðismál,32,21,1.2,1.5
